Date,County,Vehicle Primary Use,BEV Registered,PHEV Registerd,EV Total,Non-EV Total,Total Vehicles,Percent EV
6/30/2022,Asotin,Truck,0,0,0,6719,6719,0
6/30/2022,Asotin,Passenger,23,19,42,12742,12784,0.33
7/31/2022,Asotin,Truck,0,0,0,6690,6690,0
7/31/2022,Asotin,Passenger,24,19,43,12658,12701,0.34
8/31/2022,Asotin,Truck,0,0,0,6697,6697,0
8/31/2022,Asotin,Passenger,24,18,42,12624,12666,0.33
9/30/2022,Asotin,Truck,0,0,0,6711,6711,0
9/30/2022,Asotin,Passenger,25,19,44,12621,12665,0.35
10/31/2022,Asotin,Truck,0,0,0,6689,6689,0
10/31/2022,Asotin,Passenger,26,19,45,12568,12613,0.36
11/30/2022,Asotin,Truck,0,0,0,6689,6689,0
11/30/2022,Asotin,Passenger,29,20,49,12517,12566,0.39
12/31/2022,Asotin,Passenger,29,20,49,12477,12526,0.39
12/31/2022,Asotin,Truck,0,0,0,6679,6679,0
1/31/2023,Asotin,Truck,0,0,0,6669,6669,0
1/31/2023,Asotin,Passenger,30,20,50,12470,12520,0.4
2/28/2023,Asotin,Truck,0,0,0,6646,6646,0
2/28/2023,Asotin,Passenger,30,20,50,12442,12492,0.4
3/31/2023,Asotin,Passenger,31,21,52,12369,12421,0.42
3/31/2023,Asotin,Truck,0,0,0,6612,6612,0
4/30/2023,Asotin,Passenger,33,21,54,12257,12311,0.44
4/30/2023,Asotin,Truck,0,0,0,6559,6559,0
5/31/2023,Asotin,Passenger,34,20,54,12192,12246,0.44
5/31/2023,Asotin,Truck,0,0,0,6502,6502,0
1/31/2017,Benton,Passenger,129,129,258,127865,128123,0.2
1/31/2017,Benton,Truck,0,0,0,39813,39813,0
2/28/2017,Benton,Passenger,134,133,267,127657,127924,0.21
2/28/2017,Benton,Truck,0,0,0,39743,39743,0
3/31/2017,Benton,Passenger,140,139,279,127946,128225,0.22
3/31/2017,Benton,Truck,0,0,0,39849,39849,0
4/30/2017,Benton,Truck,0,0,0,39892,39892,0
4/30/2017,Benton,Passenger,143,140,283,128092,128375,0.22
5/31/2017,Benton,Passenger,146,142,288,128298,128586,0.22
5/31/2017,Benton,Truck,0,0,0,39974,39974,0
6/30/2017,Benton,Passenger,148,143,291,128522,128813,0.23
6/30/2017,Benton,Truck,0,0,0,40055,40055,0
7/31/2017,Benton,Truck,0,0,0,40130,40130,0
7/31/2017,Benton,Passenger,155,148,303,128677,128980,0.23
8/31/2017,Benton,Truck,0,0,0,40166,40166,0
8/31/2017,Benton,Passenger,161,147,308,129050,129358,0.24
9/30/2017,Benton,Truck,0,0,0,40275,40275,0
9/30/2017,Benton,Passenger,163,150,313,129270,129583,0.24
10/31/2017,Benton,Truck,0,0,0,40390,40390,0
10/31/2017,Benton,Passenger,164,155,319,129415,129734,0.25
11/30/2017,Benton,Passenger,165,160,325,129889,130214,0.25
11/30/2017,Benton,Truck,0,0,0,40499,40499,0
12/31/2017,Benton,Passenger,172,168,340,130235,130575,0.26
12/31/2017,Benton,Truck,0,0,0,40575,40575,0
1/31/2018,Benton,Passenger,175,179,354,130629,130983,0.27
1/31/2018,Benton,Truck,0,0,0,40710,40710,0
2/28/2018,Benton,Passenger,175,179,354,130461,130815,0.27
2/28/2018,Benton,Truck,0,0,0,40754,40754,0
3/31/2018,Benton,Truck,0,0,0,40796,40796,0
3/31/2018,Benton,Passenger,176,187,363,130792,131155,0.28
4/30/2018,Benton,Truck,0,0,0,40854,40854,0
4/30/2018,Benton,Passenger,178,188,366,130952,131318,0.28
5/31/2018,Benton,Truck,0,0,0,40985,40985,0
5/31/2018,Benton,Passenger,188,195,383,131308,131691,0.29
6/30/2018,Benton,Passenger,192,199,391,131482,131873,0.3
6/30/2018,Benton,Truck,0,0,0,41025,41025,0
7/31/2018,Benton,Passenger,193,197,390,131741,132131,0.3
7/31/2018,Benton,Truck,0,0,0,41092,41092,0
8/31/2018,Benton,Passenger,189,198,387,132217,132604,0.29
8/31/2018,Benton,Truck,0,0,0,41231,41231,0
9/30/2018,Benton,Truck,0,0,0,41347,41347,0
9/30/2018,Benton,Passenger,188,209,397,132442,132839,0.3
10/31/2018,Benton,Truck,0,0,0,41427,41427,0
10/31/2018,Benton,Passenger,192,217,409,132585,132994,0.31
11/30/2018,Benton,Passenger,210,224,434,132801,133235,0.33
11/30/2018,Benton,Truck,0,0,0,41441,41441,0
12/31/2018,Benton,Truck,0,0,0,41560,41560,0
12/31/2018,Benton,Passenger,227,235,462,132940,133402,0.35
1/31/2019,Benton,Passenger,232,243,475,133234,133709,0.36
1/31/2019,Benton,Truck,0,0,0,41618,41618,0
2/28/2019,Benton,Passenger,233,245,478,133009,133487,0.36
2/28/2019,Benton,Truck,0,0,0,41548,41548,0
3/31/2019,Benton,Truck,0,0,0,41533,41533,0
3/31/2019,Benton,Passenger,236,251,487,133003,133490,0.36
4/30/2019,Benton,Truck,0,0,0,41656,41656,0
4/30/2019,Benton,Passenger,248,263,511,133320,133831,0.38
5/31/2019,Benton,Passenger,253,272,525,133648,134173,0.39
5/31/2019,Benton,Truck,0,0,0,41851,41851,0
6/30/2019,Benton,Truck,0,0,0,41915,41915,0
6/30/2019,Benton,Passenger,259,279,538,133812,134350,0.4
7/31/2019,Benton,Passenger,270,289,559,134182,134741,0.41
7/31/2019,Benton,Truck,0,0,0,42074,42074,0
8/31/2019,Benton,Truck,0,0,0,42180,42180,0
8/31/2019,Benton,Passenger,280,291,571,134361,134932,0.42
9/30/2019,Benton,Truck,0,0,0,42232,42232,0
9/30/2019,Benton,Passenger,291,297,588,134633,135221,0.43
10/31/2019,Benton,Truck,0,0,0,42374,42374,0
10/31/2019,Benton,Passenger,307,302,609,134958,135567,0.45
