FIPS Code,State,do_not_use,County,RUCA code,Tract Pop,Area sq mi,Pop Density
53061,WA,Snohomish,Snohomish,1,2686,0.989089525,2715.628801
53061,WA,Snohomish,Snohomish,1,5361,0.69728354,7688.407507
53061,WA,Snohomish,Snohomish,1,4154,1.749277217,2374.69508
53061,WA,Snohomish,Snohomish,1,5327,1.439512461,3700.558449
53061,WA,Snohomish,Snohomish,1,7052,1.287820252,5475.919475
53061,WA,Snohomish,Snohomish,1,5352,1.099486947,4867.724908
53061,WA,Snohomish,Snohomish,1,6594,1.312106465,5025.506828
53061,WA,Snohomish,Snohomish,1,1271,1.23352309,1030.38201
53061,WA,Snohomish,Snohomish,1,5863,1.194966154,4906.415114
53061,WA,Snohomish,Snohomish,1,6090,1.233200694,4938.368935
53061,WA,Snohomish,Snohomish,1,3233,0.576903445,5604.057364
